step,algorithm,reward,loss,epsilon,beta,replay_size
1053,a3c,2.982167,69.385391,,,
2053,a3c,3.000000,124.554276,,,
3009,a3c,2.982167,93.682785,,,
4027,a3c,2.982167,67.979759,,,
5021,a3c,3.000000,97.156898,,,
6029,a3c,3.000000,79.651825,,,
7047,a3c,2.982167,67.598412,,,
8009,a3c,3.000000,110.188133,,,
9033,a3c,3.000000,79.372086,,,
10009,a3c,3.000000,79.496620,,,
11029,a3c,2.982167,91.446465,,,
12007,a3c,2.982167,73.829201,,,
13011,a3c,3.000000,79.654526,,,
14011,a3c,2.982167,100.243942,,,
15036,a3c,2.982167,72.671967,,,
16019,a3c,3.000000,79.757362,,,
17024,a3c,2.982167,83.748390,,,
18031,a3c,3.000000,90.406731,,,
19002,a3c,3.000000,86.501198,,,
20027,a3c,3.000000,88.365494,,,
21020,a3c,2.982167,89.193092,,,
22032,a3c,2.982167,92.715904,,,
23007,a3c,3.000000,70.730087,,,
24044,a3c,2.982167,103.807343,,,
25063,a3c,-1.000000,67.968842,,,
26017,a3c,3.000000,72.750237,,,
27039,a3c,-1.000000,81.729156,,,
28043,a3c,2.982167,79.105705,,,
29021,a3c,2.982167,66.119164,,,
30017,a3c,3.000000,66.675156,,,
31028,a3c,2.982167,85.047920,,,
32058,a3c,3.000000,87.491661,,,
33018,a3c,3.000000,70.762794,,,
34042,a3c,3.000000,85.630463,,,
35017,a3c,3.000000,91.337547,,,
36046,a3c,2.982167,86.476654,,,
37003,a3c,3.000000,82.053589,,,
38001,a3c,3.000000,75.313034,,,
39005,a3c,3.000000,70.088486,,,
40033,a3c,2.982167,67.593796,,,
41010,a3c,3.000000,87.775116,,,
42008,a3c,2.982167,72.857811,,,
43039,a3c,3.000000,84.849258,,,
44022,a3c,2.982167,83.207634,,,
45024,a3c,3.000000,83.213760,,,
46027,a3c,2.982167,92.280228,,,
47050,a3c,3.000000,89.855530,,,
48007,a3c,3.000000,81.488762,,,
49005,a3c,-1.000000,83.667053,,,
50019,a3c,2.982167,90.246964,,,
51000,a3c,-1.000000,83.486053,,,
52005,a3c,2.982167,80.224678,,,
53028,a3c,3.000000,66.341301,,,
54013,a3c,3.000000,64.903969,,,
55053,a3c,3.000000,75.999840,,,
56012,a3c,3.000000,96.722160,,,
57006,a3c,3.000000,76.358559,,,
58001,a3c,3.000000,84.717941,,,
59041,a3c,3.000000,96.128326,,,
60053,a3c,3.000000,81.244247,,,
61046,a3c,2.982167,81.859871,,,
62026,a3c,3.000000,87.812248,,,
63007,a3c,3.000000,55.919220,,,
64031,a3c,2.982167,67.898697,,,
65007,a3c,3.000000,84.310417,,,
66031,a3c,2.982167,69.238823,,,
