step,algorithm,reward,loss,epsilon,beta,replay_size
1000,ddqn,3.000000,0.007968,0.983833,0.402000,1000
2000,ddqn,2.982167,0.002785,0.967667,0.404000,2000
3000,ddqn,3.000000,0.069536,0.951500,0.406000,3000
4000,ddqn,2.982167,0.124761,0.935333,0.408000,4000
5000,ddqn,3.000000,0.086061,0.919167,0.410000,5000
6000,ddqn,3.000000,0.098817,0.903000,0.412000,6000
7000,ddqn,3.000000,0.087938,0.886833,0.414000,7000
8000,ddqn,2.982167,0.088917,0.870667,0.416000,8000
9000,ddqn,3.000000,0.114061,0.854500,0.418000,9000
10000,ddqn,2.982167,0.079521,0.838333,0.420000,10000
11000,ddqn,2.982167,0.047767,0.822167,0.422000,11000
12000,ddqn,3.000000,0.114937,0.806000,0.424000,12000
13000,ddqn,3.000000,0.094867,0.789833,0.426000,13000
14000,ddqn,2.982167,0.113515,0.773667,0.428000,14000
15000,ddqn,3.000000,0.131575,0.757500,0.430000,15000
16000,ddqn,-1.000000,0.082513,0.741333,0.432000,16000
17000,ddqn,3.000000,0.089828,0.725167,0.434000,17000
18000,ddqn,2.982167,0.073161,0.709000,0.436000,18000
19000,ddqn,3.000000,0.092230,0.692833,0.438000,19000
20000,ddqn,3.000000,0.089576,0.676667,0.440000,20000
21000,ddqn,2.982167,0.100233,0.660500,0.442000,21000
22000,ddqn,3.000000,0.063708,0.644333,0.444000,22000
23000,ddqn,3.000000,0.091729,0.628167,0.446000,23000
24000,ddqn,3.000000,0.113041,0.612000,0.448000,24000
25000,ddqn,3.000000,0.078651,0.595833,0.450000,25000
26000,ddqn,3.000000,0.126427,0.579667,0.452000,26000
27000,ddqn,2.982167,0.097735,0.563500,0.454000,27000
28000,ddqn,2.982167,0.098290,0.547333,0.456000,28000
29000,ddqn,3.000000,0.119805,0.531167,0.458000,29000
30000,ddqn,2.982167,0.085933,0.515000,0.460000,30000
31000,ddqn,2.982167,0.044970,0.498833,0.462000,31000
32000,ddqn,3.000000,0.064482,0.482667,0.464000,32000
33000,ddqn,3.000000,0.104860,0.466500,0.466000,33000
34000,ddqn,3.000000,0.099775,0.450333,0.468000,34000
35000,ddqn,3.000000,0.032878,0.434167,0.470000,35000
36000,ddqn,3.000000,0.148045,0.418000,0.472000,36000
37000,ddqn,3.000000,0.110480,0.401833,0.474000,37000
38000,ddqn,2.982167,0.070781,0.385667,0.476000,38000
39000,ddqn,3.000000,0.074288,0.369500,0.478000,39000
40000,ddqn,3.000000,0.072706,0.353333,0.480000,40000
41000,ddqn,-1.000000,0.094255,0.337167,0.482000,41000
42000,ddqn,-1.000000,0.087192,0.321000,0.484000,42000
43000,ddqn,3.000000,0.083930,0.304833,0.486000,43000
44000,ddqn,3.000000,0.037617,0.288667,0.488000,44000
45000,ddqn,3.000000,0.115939,0.272500,0.490000,45000
46000,ddqn,3.000000,0.072632,0.256333,0.492000,46000
47000,ddqn,3.000000,0.107277,0.240167,0.494000,47000
48000,ddqn,3.000000,0.043309,0.224000,0.496000,48000
49000,ddqn,3.000000,0.079717,0.207833,0.498000,49000
50000,ddqn,3.000000,0.088185,0.191667,0.500000,50000
51000,ddqn,3.000000,0.134526,0.175500,0.502000,51000
52000,ddqn,3.000000,0.060109,0.159333,0.504000,52000
53000,ddqn,3.000000,0.044022,0.143167,0.506000,53000
54000,ddqn,2.982167,0.068662,0.127000,0.508000,54000
55000,ddqn,3.000000,0.097958,0.110833,0.510000,55000
56000,ddqn,3.000000,0.066724,0.094667,0.512000,56000
57000,ddqn,3.000000,0.077796,0.078500,0.514000,57000
58000,ddqn,2.982167,0.075517,0.062333,0.516000,58000
59000,ddqn,3.000000,0.099751,0.046167,0.518000,59000
60000,ddqn,3.000000,0.074391,0.030000,0.520000,60000
61000,ddqn,-1.000000,0.089070,0.030000,0.522000,61000
62000,ddqn,3.000000,0.084097,0.030000,0.524000,62000
63000,ddqn,3.000000,0.080313,0.030000,0.526000,63000
64000,ddqn,2.982167,0.078567,0.030000,0.528000,64000
65000,ddqn,2.982167,0.072433,0.030000,0.530000,65000
66000,ddqn,3.000000,0.090907,0.030000,0.532000,66000
67000,ddqn,3.000000,0.084698,0.030000,0.534000,67000
68000,ddqn,3.000000,0.031417,0.030000,0.536000,68000
69000,ddqn,3.000000,0.015649,0.030000,0.538000,69000
70000,ddqn,2.982167,0.035315,0.030000,0.540000,70000
71000,ddqn,3.000000,0.072649,0.030000,0.542000,71000
72000,ddqn,3.000000,0.085443,0.030000,0.544000,72000
73000,ddqn,3.000000,0.044030,0.030000,0.546000,73000
74000,ddqn,3.000000,0.059315,0.030000,0.548000,74000
75000,ddqn,3.000000,0.087208,0.030000,0.550000,75000
76000,ddqn,2.982167,0.064491,0.030000,0.552000,76000
77000,ddqn,-1.000000,0.075509,0.030000,0.554000,77000
78000,ddqn,2.982167,0.054528,0.030000,0.556000,78000
79000,ddqn,2.982167,0.041653,0.030000,0.558000,79000
80000,ddqn,2.982167,0.054567,0.030000,0.560000,80000
81000,ddqn,3.000000,0.085116,0.030000,0.562000,81000
82000,ddqn,3.000000,0.058766,0.030000,0.564000,82000
83000,ddqn,3.000000,0.052133,0.030000,0.566000,83000
84000,ddqn,2.982167,0.060230,0.030000,0.568000,84000
85000,ddqn,3.000000,0.052301,0.030000,0.570000,85000
86000,ddqn,3.000000,0.044634,0.030000,0.572000,86000
87000,ddqn,3.000000,0.047085,0.030000,0.574000,87000
88000,ddqn,2.982167,0.095942,0.030000,0.576000,88000
89000,ddqn,3.000000,0.080878,0.030000,0.578000,89000
90000,ddqn,2.982167,0.061881,0.030000,0.580000,90000
91000,ddqn,3.000000,0.041139,0.030000,0.582000,91000
92000,ddqn,3.000000,0.085157,0.030000,0.584000,92000
93000,ddqn,3.000000,0.026939,0.030000,0.586000,93000
94000,ddqn,3.000000,0.065865,0.030000,0.588000,94000
95000,ddqn,3.000000,0.055926,0.030000,0.590000,95000
96000,ddqn,3.000000,0.048695,0.030000,0.592000,96000
97000,ddqn,3.000000,0.053810,0.030000,0.594000,97000
98000,ddqn,3.000000,0.071251,0.030000,0.596000,98000
99000,ddqn,3.000000,0.056214,0.030000,0.598000,99000
100000,ddqn,3.000000,0.030710,0.030000,0.600000,100000
101000,ddqn,3.000000,0.068352,0.030000,0.602000,101000
102000,ddqn,2.982167,0.062047,0.030000,0.604000,102000
103000,ddqn,3.000000,0.079797,0.030000,0.606000,103000
104000,ddqn,3.000000,0.030842,0.030000,0.608000,104000
105000,ddqn,3.000000,0.027870,0.030000,0.610000,105000
106000,ddqn,3.000000,0.091533,0.030000,0.612000,106000
107000,ddqn,3.000000,0.060757,0.030000,0.614000,107000
108000,ddqn,3.000000,0.031267,0.030000,0.616000,108000
109000,ddqn,3.000000,0.033550,0.030000,0.618000,109000
110000,ddqn,3.000000,0.032074,0.030000,0.620000,110000
111000,ddqn,3.000000,0.036266,0.030000,0.622000,111000
112000,ddqn,3.000000,0.045496,0.030000,0.624000,112000
113000,ddqn,3.000000,0.054419,0.030000,0.626000,113000
114000,ddqn,3.000000,0.089804,0.030000,0.628000,114000
115000,ddqn,3.000000,0.034743,0.030000,0.630000,115000
116000,ddqn,3.000000,0.038185,0.030000,0.632000,116000
117000,ddqn,3.000000,0.065197,0.030000,0.634000,117000
118000,ddqn,3.000000,0.047738,0.030000,0.636000,118000
119000,ddqn,3.000000,0.076520,0.030000,0.638000,119000
120000,ddqn,3.000000,0.017216,0.030000,0.640000,120000
121000,ddqn,-1.000000,0.043062,0.030000,0.642000,121000
122000,ddqn,3.000000,0.048136,0.030000,0.644000,122000
123000,ddqn,2.982167,0.055046,0.030000,0.646000,123000
124000,ddqn,3.000000,0.032634,0.030000,0.648000,124000
125000,ddqn,3.000000,0.013018,0.030000,0.650000,125000
126000,ddqn,3.000000,0.048345,0.030000,0.652000,126000
127000,ddqn,3.000000,0.033532,0.030000,0.654000,127000
128000,ddqn,3.000000,0.036109,0.030000,0.656000,128000
129000,ddqn,3.000000,0.038429,0.030000,0.658000,129000
130000,ddqn,3.000000,0.053501,0.030000,0.660000,130000
131000,ddqn,2.982167,0.022429,0.030000,0.662000,131000
132000,ddqn,2.982167,0.046483,0.030000,0.664000,132000
133000,ddqn,3.000000,0.038662,0.030000,0.666000,133000
134000,ddqn,2.982167,0.040197,0.030000,0.668000,134000
135000,ddqn,3.000000,0.056479,0.030000,0.670000,135000
136000,ddqn,3.000000,0.033831,0.030000,0.672000,136000
137000,ddqn,2.982167,0.050148,0.030000,0.674000,137000
138000,ddqn,3.000000,0.039608,0.030000,0.676000,138000
139000,ddqn,3.000000,0.037685,0.030000,0.678000,139000
140000,ddqn,3.000000,0.040427,0.030000,0.680000,140000
141000,ddqn,3.000000,0.049383,0.030000,0.682000,141000
142000,ddqn,3.000000,0.041926,0.030000,0.684000,142000
143000,ddqn,3.000000,0.048496,0.030000,0.686000,143000
144000,ddqn,2.982167,0.017961,0.030000,0.688000,144000
145000,ddqn,2.982167,0.051026,0.030000,0.690000,145000
146000,ddqn,3.000000,0.038044,0.030000,0.692000,146000
147000,ddqn,2.982167,0.036712,0.030000,0.694000,147000
148000,ddqn,3.000000,0.023606,0.030000,0.696000,148000
149000,ddqn,-1.000000,0.021286,0.030000,0.698000,149000
150000,ddqn,3.000000,0.039429,0.030000,0.700000,150000
151000,ddqn,2.982167,0.043295,0.030000,0.702000,151000
152000,ddqn,3.000000,0.029514,0.030000,0.704000,152000
153000,ddqn,3.000000,0.049954,0.030000,0.706000,153000
154000,ddqn,3.000000,0.021555,0.030000,0.708000,154000
155000,ddqn,3.000000,0.033681,0.030000,0.710000,155000
156000,ddqn,2.982167,0.029135,0.030000,0.712000,156000
157000,ddqn,2.982167,0.029565,0.030000,0.714000,157000
158000,ddqn,3.000000,0.022523,0.030000,0.716000,158000
159000,ddqn,2.982167,0.020857,0.030000,0.718000,159000
160000,ddqn,3.000000,0.022435,0.030000,0.720000,160000
161000,ddqn,3.000000,0.036187,0.030000,0.722000,161000
162000,ddqn,2.982167,0.019563,0.030000,0.724000,162000
163000,ddqn,3.000000,0.024311,0.030000,0.726000,163000
164000,ddqn,3.000000,0.039462,0.030000,0.728000,164000
165000,ddqn,2.982167,0.017533,0.030000,0.730000,165000
166000,ddqn,3.000000,0.042632,0.030000,0.732000,166000
167000,ddqn,3.000000,0.038147,0.030000,0.734000,167000
168000,ddqn,3.000000,0.030494,0.030000,0.736000,168000
169000,ddqn,3.000000,0.018740,0.030000,0.738000,169000
170000,ddqn,3.000000,0.031202,0.030000,0.740000,170000
171000,ddqn,3.000000,0.036066,0.030000,0.742000,171000
172000,ddqn,2.982167,0.040994,0.030000,0.744000,172000
173000,ddqn,3.000000,0.062510,0.030000,0.746000,173000
174000,ddqn,3.000000,0.030972,0.030000,0.748000,174000
175000,ddqn,3.000000,0.029935,0.030000,0.750000,175000
176000,ddqn,3.000000,0.044812,0.030000,0.752000,176000
177000,ddqn,2.982167,0.025243,0.030000,0.754000,177000
178000,ddqn,3.000000,0.028999,0.030000,0.756000,178000
179000,ddqn,2.982167,0.025595,0.030000,0.758000,179000
180000,ddqn,2.982167,0.003369,0.030000,0.760000,180000
181000,ddqn,3.000000,0.023841,0.030000,0.762000,181000
182000,ddqn,3.000000,0.039376,0.030000,0.764000,182000
183000,ddqn,3.000000,0.051655,0.030000,0.766000,183000
184000,ddqn,-1.000000,0.030486,0.030000,0.768000,184000
185000,ddqn,3.000000,0.040824,0.030000,0.770000,185000
186000,ddqn,3.000000,0.027759,0.030000,0.772000,186000
187000,ddqn,3.000000,0.041473,0.030000,0.774000,187000
188000,ddqn,3.000000,0.010117,0.030000,0.776000,188000
189000,ddqn,3.000000,0.024037,0.030000,0.778000,189000
190000,ddqn,2.982167,0.014111,0.030000,0.780000,190000
191000,ddqn,3.000000,0.030902,0.030000,0.782000,191000
192000,ddqn,2.982167,0.017151,0.030000,0.784000,192000
193000,ddqn,2.982167,0.019803,0.030000,0.786000,193000
194000,ddqn,3.000000,0.011173,0.030000,0.788000,194000
195000,ddqn,3.000000,0.022740,0.030000,0.790000,195000
196000,ddqn,3.000000,0.024003,0.030000,0.792000,196000
197000,ddqn,2.982167,0.021874,0.030000,0.794000,197000
198000,ddqn,3.000000,0.033994,0.030000,0.796000,198000
199000,ddqn,2.982167,0.014659,0.030000,0.798000,199000
200000,ddqn,3.000000,0.015186,0.030000,0.800000,200000
201000,ddqn,2.982167,0.030937,0.030000,0.802000,200000
202000,ddqn,3.000000,0.017776,0.030000,0.804000,200000
203000,ddqn,-1.000000,0.038216,0.030000,0.806000,200000
204000,ddqn,3.000000,0.020558,0.030000,0.808000,200000
205000,ddqn,2.982167,0.017718,0.030000,0.810000,200000
206000,ddqn,3.000000,0.020113,0.030000,0.812000,200000
207000,ddqn,3.000000,0.013703,0.030000,0.814000,200000
208000,ddqn,2.982167,0.016922,0.030000,0.816000,200000
209000,ddqn,3.000000,0.048649,0.030000,0.818000,200000
210000,ddqn,3.000000,0.021197,0.030000,0.820000,200000
211000,ddqn,3.000000,0.021981,0.030000,0.822000,200000
212000,ddqn,3.000000,0.045305,0.030000,0.824000,200000
213000,ddqn,2.982167,0.025732,0.030000,0.826000,200000
214000,ddqn,3.000000,0.021993,0.030000,0.828000,200000
215000,ddqn,3.000000,0.023072,0.030000,0.830000,200000
216000,ddqn,3.000000,0.012698,0.030000,0.832000,200000
217000,ddqn,2.982167,0.026711,0.030000,0.834000,200000
218000,ddqn,3.000000,0.014738,0.030000,0.836000,200000
219000,ddqn,2.982167,0.035684,0.030000,0.838000,200000
220000,ddqn,3.000000,0.011482,0.030000,0.840000,200000
221000,ddqn,2.982167,0.028887,0.030000,0.842000,200000
222000,ddqn,3.000000,0.024043,0.030000,0.844000,200000
223000,ddqn,3.000000,0.029622,0.030000,0.846000,200000
224000,ddqn,3.000000,0.011076,0.030000,0.848000,200000
225000,ddqn,3.000000,0.012628,0.030000,0.850000,200000
226000,ddqn,2.982167,0.006379,0.030000,0.852000,200000
227000,ddqn,3.000000,0.018409,0.030000,0.854000,200000
228000,ddqn,2.982167,0.008324,0.030000,0.856000,200000
229000,ddqn,2.982167,0.010358,0.030000,0.858000,200000
230000,ddqn,3.000000,0.024419,0.030000,0.860000,200000
231000,ddqn,3.000000,0.023688,0.030000,0.862000,200000
232000,ddqn,3.000000,0.011362,0.030000,0.864000,200000
233000,ddqn,3.000000,0.028671,0.030000,0.866000,200000
234000,ddqn,3.000000,0.032389,0.030000,0.868000,200000
235000,ddqn,2.982167,0.020103,0.030000,0.870000,200000
236000,ddqn,2.982167,0.009556,0.030000,0.872000,200000
237000,ddqn,2.982167,0.026309,0.030000,0.874000,200000
238000,ddqn,3.000000,0.010285,0.030000,0.876000,200000
239000,ddqn,2.982167,0.041561,0.030000,0.878000,200000
240000,ddqn,3.000000,0.010631,0.030000,0.880000,200000
241000,ddqn,2.982167,0.015468,0.030000,0.882000,200000
242000,ddqn,3.000000,0.022617,0.030000,0.884000,200000
243000,ddqn,3.000000,0.026470,0.030000,0.886000,200000
244000,ddqn,3.000000,0.012341,0.030000,0.888000,200000
245000,ddqn,3.000000,0.012880,0.030000,0.890000,200000
246000,ddqn,3.000000,0.025285,0.030000,0.892000,200000
247000,ddqn,3.000000,0.021349,0.030000,0.894000,200000
248000,ddqn,3.000000,0.006360,0.030000,0.896000,200000
249000,ddqn,3.000000,0.007934,0.030000,0.898000,200000
250000,ddqn,3.000000,0.013724,0.030000,0.900000,200000
251000,ddqn,2.982167,0.028846,0.030000,0.902000,200000
252000,ddqn,2.982167,0.006935,0.030000,0.904000,200000
253000,ddqn,3.000000,0.005410,0.030000,0.906000,200000
254000,ddqn,3.000000,0.009884,0.030000,0.908000,200000
255000,ddqn,3.000000,0.012568,0.030000,0.910000,200000
256000,ddqn,3.000000,0.014150,0.030000,0.912000,200000
257000,ddqn,2.982167,0.014583,0.030000,0.914000,200000
258000,ddqn,2.982167,0.009975,0.030000,0.916000,200000
259000,ddqn,3.000000,0.013411,0.030000,0.918000,200000
260000,ddqn,2.982167,0.006324,0.030000,0.920000,200000
261000,ddqn,3.000000,0.017910,0.030000,0.922000,200000
262000,ddqn,3.000000,0.012643,0.030000,0.924000,200000
263000,ddqn,2.982167,0.019274,0.030000,0.926000,200000
264000,ddqn,3.000000,0.029738,0.030000,0.928000,200000
265000,ddqn,3.000000,0.007060,0.030000,0.930000,200000
266000,ddqn,2.982167,0.020919,0.030000,0.932000,200000
267000,ddqn,3.000000,0.004215,0.030000,0.934000,200000
268000,ddqn,2.982167,0.004932,0.030000,0.936000,200000
269000,ddqn,2.982167,0.007913,0.030000,0.938000,200000
270000,ddqn,3.000000,0.010642,0.030000,0.940000,200000
271000,ddqn,3.000000,0.014402,0.030000,0.942000,200000
272000,ddqn,3.000000,0.007464,0.030000,0.944000,200000
273000,ddqn,3.000000,0.022957,0.030000,0.946000,200000
274000,ddqn,3.000000,0.013218,0.030000,0.948000,200000
275000,ddqn,2.982167,0.015386,0.030000,0.950000,200000
276000,ddqn,3.000000,0.006209,0.030000,0.952000,200000
277000,ddqn,3.000000,0.008990,0.030000,0.954000,200000
278000,ddqn,3.000000,0.017196,0.030000,0.956000,200000
279000,ddqn,3.000000,0.012696,0.030000,0.958000,200000
280000,ddqn,3.000000,0.012494,0.030000,0.960000,200000
281000,ddqn,-1.000000,0.019681,0.030000,0.962000,200000
282000,ddqn,3.000000,0.015320,0.030000,0.964000,200000
283000,ddqn,2.982167,0.008563,0.030000,0.966000,200000
284000,ddqn,3.000000,0.008401,0.030000,0.968000,200000
285000,ddqn,3.000000,0.016888,0.030000,0.970000,200000
286000,ddqn,3.000000,0.004531,0.030000,0.972000,200000
287000,ddqn,3.000000,0.020472,0.030000,0.974000,200000
288000,ddqn,3.000000,0.012196,0.030000,0.976000,200000
289000,ddqn,3.000000,0.006649,0.030000,0.978000,200000
290000,ddqn,3.000000,0.011689,0.030000,0.980000,200000
291000,ddqn,3.000000,0.003596,0.030000,0.982000,200000
292000,ddqn,3.000000,0.023348,0.030000,0.984000,200000
293000,ddqn,3.000000,0.010870,0.030000,0.986000,200000
294000,ddqn,2.982167,0.012442,0.030000,0.988000,200000
295000,ddqn,3.000000,0.010497,0.030000,0.990000,200000
296000,ddqn,3.000000,0.009137,0.030000,0.992000,200000
297000,ddqn,3.000000,0.006583,0.030000,0.994000,200000
298000,ddqn,3.000000,0.009827,0.030000,0.996000,200000
299000,ddqn,2.982167,0.009301,0.030000,0.998000,200000
300000,ddqn,3.000000,0.006256,0.030000,1.000000,200000
