lambda_per_hour,seed,scheduler,total_arrivals,accepted,rejected,accept_rate,sla_rate,avg_delay_ms,p95_delay_ms,avg_control_delay_ms,p95_control_delay_ms,total_cost_cny,cost_per_accepted_cny,fallback_timeout,fallback_service_unavailable,fallback_illegal_action,policy_reject
4,0,best_fit,271,271,0,1.000000,1.000000,20.183571,39.968564,0.003368,0.005200,2336.166667,8.620541,0,0,0,0
4,1,best_fit,275,275,0,1.000000,1.000000,22.104029,39.968564,0.000357,0.000700,2349.987500,8.545409,0,0,0,0
4,2,best_fit,278,278,0,1.000000,1.000000,21.213747,39.968564,0.000319,0.000500,2234.695000,8.038471,0,0,0,0
4,3,best_fit,282,282,0,1.000000,1.000000,20.620455,39.968564,0.000731,0.001200,2272.858333,8.059781,0,0,0,0
4,4,best_fit,289,289,0,1.000000,1.000000,22.407370,39.968564,0.000250,0.000300,2463.496667,8.524210,0,0,0,0
4,0,local_regression_heuristic,271,271,0,1.000000,1.000000,14.863635,20.942282,0.002085,0.002200,2904.960833,10.719413,0,0,0,0
4,1,local_regression_heuristic,275,275,0,1.000000,1.000000,16.235673,20.942282,0.000349,0.000400,2942.232500,10.699027,0,0,0,0
4,2,local_regression_heuristic,278,278,0,1.000000,1.000000,14.381811,20.942282,0.000412,0.000500,2982.357500,10.727905,0,0,0,0
4,3,local_regression_heuristic,282,282,0,1.000000,1.000000,14.787806,20.942282,0.000640,0.000500,2944.640000,10.441986,0,0,0,0
4,4,local_regression_heuristic,289,289,0,1.000000,1.000000,16.226173,20.942282,0.000366,0.000400,3090.784167,10.694755,0,0,0,0
4,0,random_feasible,271,271,0,1.000000,1.000000,16.547193,31.121128,0.000448,0.000500,2722.971667,10.047866,0,0,0,0
4,1,random_feasible,275,275,0,1.000000,1.000000,18.821498,31.121128,0.000232,0.000200,2673.305833,9.721112,0,0,0,0
4,2,random_feasible,278,278,0,1.000000,1.000000,16.323772,30.163128,0.000185,0.000400,2755.428333,9.911613,0,0,0,0
4,3,random_feasible,282,282,0,1.000000,1.000000,16.567284,30.163128,0.000143,0.000300,2733.136667,9.691974,0,0,0,0
4,4,random_feasible,289,289,0,1.000000,1.000000,17.812452,31.121128,0.000121,0.000200,2893.993333,10.013818,0,0,0,0
4,0,ddqn,284,0,284,0.000000,0.000000,0.000000,0.000000,2.098529,2.889300,0.000000,0.000000,0,0,0,284
4,1,ddqn,276,0,276,0.000000,0.000000,0.000000,0.000000,1.465934,2.214200,0.000000,0.000000,0,0,0,276
4,2,ddqn,284,1,283,0.003521,1.000000,20.942282,20.942282,1.474937,2.398400,13.018333,13.018333,0,1,0,283
