lambda_per_hour,seed,scheduler,total_arrivals,accepted,rejected,accept_rate,sla_rate,avg_delay_ms,p95_delay_ms,avg_control_delay_ms,p95_control_delay_ms,total_cost_cny,cost_per_accepted_cny,fallback_timeout,fallback_service_unavailable,fallback_illegal_action,policy_reject
4,0,best_fit,271,271,0,1.000000,1.000000,20.183571,39.968564,0.005380,0.005000,2336.166667,8.620541,0,0,0,0
4,1,best_fit,275,275,0,1.000000,1.000000,22.104029,39.968564,0.000483,0.000600,2349.987500,8.545409,0,0,0,0
4,2,best_fit,278,278,0,1.000000,1.000000,21.213747,39.968564,0.000363,0.000500,2234.695000,8.038471,0,0,0,0
4,3,best_fit,282,282,0,1.000000,1.000000,20.620455,39.968564,0.000459,0.000500,2272.858333,8.059781,0,0,0,0
4,4,best_fit,289,289,0,1.000000,1.000000,22.407370,39.968564,0.000260,0.000400,2463.496667,8.524210,0,0,0,0
4,0,local_regression_heuristic,271,271,0,1.000000,1.000000,14.863635,20.942282,0.002345,0.003400,2904.960833,10.719413,0,0,0,0
4,1,local_regression_heuristic,275,275,0,1.000000,1.000000,16.235673,20.942282,0.000418,0.000700,2942.232500,10.699027,0,0,0,0
4,2,local_regression_heuristic,278,278,0,1.000000,1.000000,14.381811,20.942282,0.000419,0.000800,2982.357500,10.727905,0,0,0,0
4,3,local_regression_heuristic,282,282,0,1.000000,1.000000,14.787806,20.942282,0.001054,0.001400,2944.640000,10.441986,0,0,0,0
4,4,local_regression_heuristic,289,289,0,1.000000,1.000000,16.226173,20.942282,0.000404,0.000600,3090.784167,10.694755,0,0,0,0
4,0,random_feasible,271,271,0,1.000000,1.000000,16.547193,31.121128,0.000585,0.000700,2722.971667,10.047866,0,0,0,0
4,1,random_feasible,275,275,0,1.000000,1.000000,18.821498,31.121128,0.000284,0.000300,2673.305833,9.721112,0,0,0,0
4,2,random_feasible,278,278,0,1.000000,1.000000,16.323772,30.163128,0.000124,0.000200,2755.428333,9.911613,0,0,0,0
4,3,random_feasible,282,282,0,1.000000,1.000000,16.567284,30.163128,0.000228,0.000400,2733.136667,9.691974,0,0,0,0
4,4,random_feasible,289,289,0,1.000000,1.000000,17.812452,31.121128,0.000125,0.000200,2893.993333,10.013818,0,0,0,0
4,0,ppo,284,1,283,0.003521,1.000000,11.136846,11.136846,7.954079,10.954600,12.750833,12.750833,1,0,0,283
4,1,ppo,276,1,275,0.003623,1.000000,11.136846,11.136846,6.449996,10.126400,9.362500,9.362500,0,1,0,275
4,2,ppo,284,2,282,0.007042,1.000000,11.136846,11.136846,5.554797,9.219500,21.489167,10.744583,0,2,0,282
