lambda_per_hour,scheduler,n_seeds,accept_rate_mean,accept_rate_std,sla_rate_mean,sla_rate_std,avg_delay_ms_mean,avg_delay_ms_std,p95_delay_ms_mean,p95_delay_ms_std,avg_control_delay_ms_mean,avg_control_delay_ms_std,p95_control_delay_ms_mean,p95_control_delay_ms_std,cost_per_accepted_cny_mean,cost_per_accepted_cny_std,fallback_timeout_mean,fallback_timeout_std,fallback_service_unavailable_mean,fallback_service_unavailable_std,fallback_illegal_action_mean,fallback_illegal_action_std,policy_reject_mean,policy_reject_std
4,best_fit,5,1.000000,0.000000,1.000000,0.000000,21.305834,0.847136,39.968564,0.000000,0.001041,0.001352,0.001460,0.001827,8.357682,0.254051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,local_regression_heuristic,5,1.000000,0.000000,1.000000,0.000000,15.299020,0.778345,20.942282,0.000000,0.000929,0.000807,0.001240,0.001148,10.656617,0.108023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,python_policy,5,0.000704,0.001408,0.200000,0.400000,2.227369,4.454738,2.227369,4.454738,5.720887,0.573785,10.625740,0.478733,2.550167,5.100333,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,282.600000,3.611094
4,random_feasible,5,1.000000,0.000000,1.000000,0.000000,17.214440,0.958913,30.737928,0.469322,0.000426,0.000414,0.000680,0.000685,9.877277,0.146729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,best_fit,5,1.000000,0.000000,1.000000,0.000000,23.824939,0.944539,39.968564,0.000000,0.000271,0.000047,0.000340,0.000049,7.486128,0.149951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,local_regression_heuristic,5,1.000000,0.000000,1.000000,0.000000,15.530798,0.672293,20.942282,0.000000,0.000318,0.000033,0.000440,0.000080,10.430867,0.143349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,python_policy,5,0.001401,0.002058,0.400000,0.489898,5.108434,6.341328,4.454738,5.455918,4.438381,0.373395,6.967160,0.919386,2.823611,3.759879,0.000000,0.000000,0.800000,1.166190,0.000000,0.000000,556.400000,18.260340
8,random_feasible,5,1.000000,0.000000,1.000000,0.000000,18.937344,0.909505,34.660102,4.334341,0.000137,0.000044,0.000200,0.000000,9.142187,0.150267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,best_fit,5,1.000000,0.000000,1.000000,0.000000,25.378031,0.783443,39.968564,0.000000,0.000166,0.000011,0.000220,0.000040,6.923420,0.095910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,local_regression_heuristic,5,1.000000,0.000000,1.000000,0.000000,15.622032,0.720781,20.942282,0.000000,0.000205,0.000010,0.000300,0.000000,10.326898,0.038668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,python_policy,5,0.000747,0.001494,0.200000,0.400000,2.881065,5.762130,2.227369,4.454738,4.982326,0.099280,9.232540,0.138345,2.068667,4.137333,0.000000,0.000000,0.600000,1.200000,0.000000,0.000000,846.400000,33.350262
12,random_feasible,5,1.000000,0.000000,1.000000,0.000000,20.176724,0.928477,36.578954,4.151408,0.000124,0.000011,0.000200,0.000000,8.663069,0.102161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,best_fit,5,0.999654,0.000424,1.000000,0.000000,26.500265,0.695156,39.968564,0.000000,0.000274,0.000079,0.000500,0.000405,6.581800,0.156502,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,local_regression_heuristic,5,1.000000,0.000000,1.000000,0.000000,16.147748,0.655926,21.315692,0.000000,0.000203,0.000029,0.000240,0.000049,10.068351,0.128917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,python_policy,5,0.001044,0.001013,0.600000,0.489898,10.277434,8.662931,8.643195,7.913454,4.775113,0.021528,9.003800,0.102141,6.850972,5.991428,0.000000,0.000000,1.200000,1.166190,0.000000,0.000000,1134.400000,20.828826
16,random_feasible,5,1.000000,0.000000,1.000000,0.000000,21.266145,0.687721,39.968564,0.000000,0.000096,0.000002,0.000100,0.000000,8.270639,0.163638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
